𒀀;12000;CUNEIFORM SIGN A;
𒍧;12367;CUNEIFORM SIGN ZIB KABA TENU;
𒍨;12368;CUNEIFORM SIGN ZIG;
𒍩;12369;CUNEIFORM SIGN ZIZ2;
𒍪;1236A;CUNEIFORM SIGN ZU;
𒍫;1236B;CUNEIFORM SIGN ZU5;
𒍬;1236C;CUNEIFORM SIGN ZU5 TIMES A;
𒍭;1236D;CUNEIFORM SIGN ZUBUR;
𒍮;1236E;CUNEIFORM SIGN ZUM;
𒐀;12400;CUNEIFORM NUMERIC SIGN TWO ASH;
𒐁;12401;CUNEIFORM NUMERIC SIGN THREE ASH;
𒐂;12402;CUNEIFORM NUMERIC SIGN FOUR ASH;
𒐃;12403;CUNEIFORM NUMERIC SIGN FIVE ASH;
𒐄;12404;CUNEIFORM NUMERIC SIGN SIX ASH;
𒐅;12405;CUNEIFORM NUMERIC SIGN SEVEN ASH;
𒐆;12406;CUNEIFORM NUMERIC SIGN EIGHT ASH;
𒐇;12407;CUNEIFORM NUMERIC SIGN NINE ASH;
𒐈;12408;CUNEIFORM NUMERIC SIGN THREE DISH;
𒐉;12409;CUNEIFORM NUMERIC SIGN FOUR DISH;
𒐊;1240A;CUNEIFORM NUMERIC SIGN FIVE DISH;
𒐋;1240B;CUNEIFORM NUMERIC SIGN SIX DISH;
𒐌;1240C;CUNEIFORM NUMERIC SIGN SEVEN DISH;
𒐍;1240D;CUNEIFORM NUMERIC SIGN EIGHT DISH;
𒐎;1240E;CUNEIFORM NUMERIC SIGN NINE DISH;
𒐏;1240F;CUNEIFORM NUMERIC SIGN FOUR U;
𒐐;12410;CUNEIFORM NUMERIC SIGN FIVE U;
𒐑;12411;CUNEIFORM NUMERIC SIGN SIX U;
𒐒;12412;CUNEIFORM NUMERIC SIGN SEVEN U;
𒐓;12413;CUNEIFORM NUMERIC SIGN EIGHT U;
𒐔;12414;CUNEIFORM NUMERIC SIGN NINE U;
𒐕;12415;CUNEIFORM NUMERIC SIGN ONE GESH2;
𒐖;12416;CUNEIFORM NUMERIC SIGN TWO GESH2;
𒐗;12417;CUNEIFORM NUMERIC SIGN THREE GESH2;
𒐘;12418;CUNEIFORM NUMERIC SIGN FOUR GESH2;
𒐙;12419;CUNEIFORM NUMERIC SIGN FIVE GESH2;
𒐚;1241A;CUNEIFORM NUMERIC SIGN SIX GESH2;
𒐛;1241B;CUNEIFORM NUMERIC SIGN SEVEN GESH2;
𒐜;1241C;CUNEIFORM NUMERIC SIGN EIGHT GESH2;
𒐝;1241D;CUNEIFORM NUMERIC SIGN NINE GESH2;
𒐞;1241E;CUNEIFORM NUMERIC SIGN ONE GESHU;
𒐟;1241F;CUNEIFORM NUMERIC SIGN TWO GESHU;
𒐠;12420;CUNEIFORM NUMERIC SIGN THREE GESHU;
𒐡;12421;CUNEIFORM NUMERIC SIGN FOUR GESHU;
𒐢;12422;CUNEIFORM NUMERIC SIGN FIVE GESHU;
𒐣;12423;CUNEIFORM NUMERIC SIGN TWO SHAR2;
𒐤;12424;CUNEIFORM NUMERIC SIGN THREE SHAR2;
𒐥;12425;CUNEIFORM NUMERIC SIGN THREE SHAR2 VARIANT FORM;
𒐦;12426;CUNEIFORM NUMERIC SIGN FOUR SHAR2;
𒐧;12427;CUNEIFORM NUMERIC SIGN FIVE SHAR2;
𒐨;12428;CUNEIFORM NUMERIC SIGN SIX SHAR2;
𒐩;12429;CUNEIFORM NUMERIC SIGN SEVEN SHAR2;
𒐪;1242A;CUNEIFORM NUMERIC SIGN EIGHT SHAR2;
𒐫;1242B;CUNEIFORM NUMERIC SIGN NINE SHAR2;
𒐬;1242C;CUNEIFORM NUMERIC SIGN ONE SHARU;
𒐭;1242D;CUNEIFORM NUMERIC SIGN TWO SHARU;
𒐮;1242E;CUNEIFORM NUMERIC SIGN THREE SHARU;
𒐯;1242F;CUNEIFORM NUMERIC SIGN THREE SHARU VARIANT FORM;
𒐰;12430;CUNEIFORM NUMERIC SIGN FOUR SHARU;
𒐱;12431;CUNEIFORM NUMERIC SIGN FIVE SHARU;
𒐲;12432;CUNEIFORM NUMERIC SIGN SHAR2 TIMES GAL PLUS DISH;
𒐳;12433;CUNEIFORM NUMERIC SIGN SHAR2 TIMES GAL PLUS MIN;
𒐴;12434;CUNEIFORM NUMERIC SIGN ONE BURU;
𒐵;12435;CUNEIFORM NUMERIC SIGN TWO BURU;
𒐶;12436;CUNEIFORM NUMERIC SIGN THREE BURU;
𒐷;12437;CUNEIFORM NUMERIC SIGN THREE BURU VARIANT FORM;
𒐸;12438;CUNEIFORM NUMERIC SIGN FOUR BURU;
𒐹;12439;CUNEIFORM NUMERIC SIGN FIVE BURU;
𒐺;1243A;CUNEIFORM NUMERIC SIGN THREE VARIANT FORM ESH16;
𒐻;1243B;CUNEIFORM NUMERIC SIGN THREE VARIANT FORM ESH21;
𒐼;1243C;CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU;
𒐽;1243D;CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU4;
𒐾;1243E;CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU A;
𒐿;1243F;CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU B;
𒑀;12440;CUNEIFORM NUMERIC SIGN SIX VARIANT FORM ASH9;
𒑁;12441;CUNEIFORM NUMERIC SIGN SEVEN VARIANT FORM IMIN3;
𒑂;12442;CUNEIFORM NUMERIC SIGN SEVEN VARIANT FORM IMIN A;
𒑃;12443;CUNEIFORM NUMERIC SIGN SEVEN VARIANT FORM IMIN B;
𒑄;12444;CUNEIFORM NUMERIC SIGN EIGHT VARIANT FORM USSU;
𒑅;12445;CUNEIFORM NUMERIC SIGN EIGHT VARIANT FORM USSU3;
𒑆;12446;CUNEIFORM NUMERIC SIGN NINE VARIANT FORM ILIMMU;
𒑇;12447;CUNEIFORM NUMERIC SIGN NINE VARIANT FORM ILIMMU3;
𒑈;12448;CUNEIFORM NUMERIC SIGN NINE VARIANT FORM ILIMMU4;
𒑉;12449;CUNEIFORM NUMERIC SIGN NINE VARIANT FORM ILIMMU A;
𒑊;1244A;CUNEIFORM NUMERIC SIGN TWO ASH TENU;
𒑋;1244B;CUNEIFORM NUMERIC SIGN THREE ASH TENU;
𒑌;1244C;CUNEIFORM NUMERIC SIGN FOUR ASH TENU;
𒑍;1244D;CUNEIFORM NUMERIC SIGN FIVE ASH TENU;
𒑎;1244E;CUNEIFORM NUMERIC SIGN SIX ASH TENU;
𒑏;1244F;CUNEIFORM NUMERIC SIGN ONE BAN2;
𒑐;12450;CUNEIFORM NUMERIC SIGN TWO BAN2;
𒑑;12451;CUNEIFORM NUMERIC SIGN THREE BAN2;
𒑒;12452;CUNEIFORM NUMERIC SIGN FOUR BAN2;
𒑓;12453;CUNEIFORM NUMERIC SIGN FOUR BAN2 VARIANT FORM;
𒑔;12454;CUNEIFORM NUMERIC SIGN FIVE BAN2;
𒑕;12455;CUNEIFORM NUMERIC SIGN FIVE BAN2 VARIANT FORM;
𒑖;12456;CUNEIFORM NUMERIC SIGN NIGIDAMIN;
𒑗;12457;CUNEIFORM NUMERIC SIGN NIGIDAESH;
𒑘;12458;CUNEIFORM NUMERIC SIGN ONE ESHE3;
𒑙;12459;CUNEIFORM NUMERIC SIGN TWO ESHE3;
𒑚;1245A;CUNEIFORM NUMERIC SIGN ONE THIRD DISH;
𒑛;1245B;CUNEIFORM NUMERIC SIGN TWO THIRDS DISH;
𒑜;1245C;CUNEIFORM NUMERIC SIGN FIVE SIXTHS DISH;
𒑝;1245D;CUNEIFORM NUMERIC SIGN ONE THIRD VARIANT FORM A;
𒑞;1245E;CUNEIFORM NUMERIC SIGN TWO THIRDS VARIANT FORM A;
𒑟;1245F;CUNEIFORM NUMERIC SIGN ONE EIGHTH ASH;
𒑠;12460;CUNEIFORM NUMERIC SIGN ONE QUARTER ASH;
𒑡;12461;CUNEIFORM NUMERIC SIGN OLD ASSYRIAN ONE SIXTH;
𒑢;12462;CUNEIFORM NUMERIC SIGN OLD ASSYRIAN ONE QUARTER;
𒑰;12470;CUNEIFORM PUNCTUATION SIGN OLD ASSYRIAN WORD DIVIDER;
𒑱;12471;CUNEIFORM PUNCTUATION SIGN VERTICAL COLON;
𒑲;12472;CUNEIFORM PUNCTUATION SIGN DIAGONAL COLON;
𒑳;12473;CUNEIFORM PUNCTUATION SIGN DIAGONAL TRICOLON;
